Data,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar
2023-08-03,4,6,9,33,65,73,48,12
2023-08-04,5,21,57,71,72,84,66,11
2023-08-05,7,9,17,18,47,81,61,20
2023-08-08,3,4,5,71,81,82,64,10
2023-08-10,9,21,43,49,53,86,68,62
2023-08-11,31,45,46,52,69,83,76,34
2023-08-12,2,40,48,78,81,90,55,14
2023-08-14,6,28,46,64,77,82,20,15
2023-08-17,10,12,14,53,63,71,41,41
2023-08-18,5,13,41,58,70,73,1,28
2023-08-19,5,6,18,23,49,61,22,82
2023-08-22,32,45,47,61,67,75,6,83
2023-08-24,3,34,54,67,71,77,2,49
2023-08-25,4,12,41,57,77,78,40,3
2023-08-26,8,11,23,59,73,75,14,11
2023-08-29,52,53,56,69,82,90,6,50
2023-08-31,9,15,61,66,72,73,2,79
2023-09-01,18,53,57,67,75,80,77,39
2023-09-02,7,14,15,49,86,90,82,19
2023-09-05,14,19,20,26,33,65,15,36
2023-09-07,2,15,34,40,57,89,88,73
2023-09-08,13,30,42,58,80,86,33,72
2023-09-09,6,17,28,43,46,76,61,84
2023-09-12,26,28,41,47,81,84,70,70
2023-09-14,23,29,41,55,76,79,11,5
2023-09-15,5,12,42,51,55,80,35,60
2023-09-16,23,27,53,55,74,86,79,65
2023-09-19,9,11,41,52,86,89,36,9
2023-09-21,4,21,29,31,45,59,42,2
2023-09-22,3,58,67,69,70,84,5,11
2023-09-23,22,27,38,51,80,82,24,31
2023-09-26,41,43,45,60,66,78,30,75
2023-09-28,9,25,40,58,85,86,11,34
2023-09-29,6,35,48,53,81,86,47,71
2023-09-30,17,25,64,66,74,76,49,78
2023-10-03,12,13,20,54,67,84,66,77
2023-10-05,20,22,39,65,69,71,38,53
2023-10-06,33,36,48,62,82,90,8,61
2023-10-07,12,35,37,42,55,58,63,13
2023-10-10,1,39,45,49,87,88,30,41
2023-10-12,5,7,10,14,20,36,54,11
2023-10-13,24,29,40,55,56,77,49,79
2023-10-14,4,6,52,79,81,83,45,53
2023-10-17,16,28,39,40,63,85,12,33
2023-10-19,10,18,45,55,66,70,75,53
2023-10-20,14,21,24,49,71,81,5,17
2023-10-21,23,35,37,58,61,73,50,13
2023-10-24,8,18,41,54,75,79,42,8
2023-10-26,11,19,28,34,38,45,1,31
2023-10-27,23,40,49,57,68,69,56,56
2023-10-28,4,9,25,30,57,66,79,77
2023-10-31,3,42,54,69,73,80,68,29
2023-11-02,17,29,40,56,60,80,33,2
2023-11-03,52,64,68,76,84,87,14,6
2023-11-04,16,52,59,63,84,90,32,55
2023-11-07,10,30,36,64,69,76,68,88
2023-11-09,14,68,70,84,85,87,45,16
2023-11-10,7,45,58,62,69,76,66,37
2023-11-11,16,22,23,25,62,82,5,11
2023-11-14,35,38,39,51,74,80,4,20
2023-11-16,9,10,19,40,52,56,50,42
2023-11-17,14,23,63,70,75,89,59,83
2023-11-18,5,51,52,60,62,80,22,23
2023-11-21,30,59,61,86,88,90,43,77
2023-11-23,1,37,61,68,71,83,52,25
2023-11-24,4,13,28,30,47,59,61,56
2023-11-25,11,27,28,55,58,73,49,12
2023-11-28,6,14,49,52,67,68,80,25
2023-11-30,27,38,41,81,84,86,49,69
2023-12-01,11,22,33,44,65,66,87,17
2023-12-02,19,24,29,53,74,83,70,40
2023-12-05,4,6,16,39,41,44,23,78
2023-12-07,5,19,42,44,68,84,72,38
2023-12-09,3,20,27,41,59,82,24,31
2023-12-11,1,41,46,50,84,89,37,19
2023-12-12,4,27,47,57,59,89,7,4
2023-12-14,22,28,37,39,53,86,78,70
2023-12-15,52,63,67,71,83,89,23,46
2023-12-16,13,22,23,42,47,87,67,69
2023-12-18,3,4,14,15,65,85,33,43
2023-12-19,20,26,30,33,54,83,89,64
2023-12-21,19,32,38,62,77,79,90,83
2023-12-22,1,8,46,57,73,79,67,32
2023-12-23,8,10,49,57,79,81,36,65
2023-12-28,15,36,57,58,79,86,35,47
2023-12-29,13,46,47,67,68,90,55,40
2023-12-30,23,43,45,53,66,69,4,59
2023-12-30,1,2,3,4,5,6,1,0
2022-01-03,9,47,50,67,73,74,85,49
2022-01-04,5,18,59,78,81,89,10,9
2022-01-08,35,42,49,63,68,78,1,33
2022-01-10,3,25,30,58,66,84,72,55
2022-01-11,15,22,24,33,38,71,47,45
2022-01-13,10,34,56,66,78,87,52,29
2022-01-15,6,19,48,51,73,89,32,40
2022-01-18,33,34,43,46,49,66,87,78
2022-01-20,32,33,37,53,77,79,76,61
2022-01-22,5,13,27,37,50,59,76,47
2022-01-25,4,13,16,21,23,50,63,79
2022-01-27,30,53,63,74,83,88,44,27
2022-01-29,1,23,63,79,82,89,68,52
2022-02-01,5,10,29,31,47,58,34,44
2022-02-03,21,26,28,35,65,77,46,60
2022-02-05,30,39,48,55,76,81,82,11
2022-02-08,36,38,57,62,64,81,68,28
2022-02-10,25,35,51,52,58,59,82,71
2022-02-12,14,22,27,47,68,77,44,45
2022-02-15,1,9,44,49,60,74,70,38
2022-02-17,36,48,67,77,85,87,38,74
2022-02-19,9,13,15,65,74,81,66,24
2022-02-22,9,15,29,59,64,74,22,16
2022-02-24,16,28,38,52,69,73,17,47
2022-02-26,6,24,38,52,84,87,4,81
2022-03-01,15,44,60,79,81,83,64,64
2022-03-03,31,33,40,43,47,80,2,21
2022-03-05,3,9,58,66,68,80,35,77
2022-03-08,3,15,16,21,31,80,24,70
2022-03-10,18,34,39,47,52,66,22,69
2022-03-12,24,32,41,56,76,80,10,11
2022-03-15,8,22,53,65,75,86,55,44
2022-03-17,14,52,53,54,55,86,34,29
2022-03-19,20,41,61,67,73,83,4,83
2022-03-22,27,30,49,68,74,88,64,11
