data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
2024-01-30 00:00:00,16,5.0,10.0,76.0,82.0,83.0,89.0,25,49
2024-02-01 00:00:00,17,3.0,44.0,74.0,81.0,87.0,89.0,85,66
2024-02-02 00:00:00,18,2.0,35.0,38.0,44.0,68.0,83.0,50,73
2024-02-03 00:00:00,19,6.0,10.0,12.0,34.0,66.0,77.0,19,58
2024-02-06 00:00:00,20,26.0,34.0,39.0,46.0,54.0,89.0,13,11
2024-02-08 00:00:00,21,2.0,4.0,24.0,62.0,73.0,75.0,1,49
2024-02-09 00:00:00,22,6.0,22.0,29.0,42.0,48.0,66.0,56,81
2024-02-10 00:00:00,23,43.0,62.0,72.0,73.0,85.0,86.0,58,17
2024-02-13 00:00:00,24,27.0,34.0,37.0,42.0,53.0,76.0,60,55
2024-02-15 00:00:00,25,34.0,38.0,61.0,71.0,74.0,83.0,80,79
2024-02-16 00:00:00,26,20.0,30.0,37.0,83.0,88.0,89.0,77,66
2024-02-17 00:00:00,27,3.0,11.0,25.0,34.0,46.0,64.0,53,75
2024-02-20 00:00:00,28,5.0,30.0,36.0,43.0,48.0,78.0,79,51
2024-02-22 00:00:00,29,29.0,30.0,43.0,44.0,75.0,87.0,1,85
2024-02-23 00:00:00,30,38.0,54.0,57.0,66.0,74.0,88.0,75,57
2024-02-24 00:00:00,31,41.0,43.0,46.0,47.0,63.0,87.0,30,44
2024-02-27 00:00:00,32,27.0,33.0,41.0,73.0,79.0,90.0,34,39
2024-02-29 00:00:00,33,13.0,28.0,36.0,41.0,79.0,88.0,30,32
2024-03-01 00:00:00,34,5.0,16.0,44.0,61.0,80.0,90.0,25,16
2024-03-02 00:00:00,35,26.0,50.0,51.0,55.0,85.0,87.0,14,19
2024-03-05 00:00:00,36,16.0,43.0,53.0,79.0,80.0,82.0,74,61
2024-03-07 00:00:00,37,3.0,13.0,24.0,60.0,70.0,75.0,71,30
2024-03-08 00:00:00,38,9.0,16.0,23.0,50.0,53.0,79.0,55,84
2024-03-09 00:00:00,39,10.0,30.0,36.0,49.0,55.0,62.0,32,66
2024-03-12 00:00:00,40,7.0,25.0,46.0,67.0,69.0,86.0,23,77
2024-03-14 00:00:00,41,14.0,23.0,51.0,55.0,68.0,76.0,77,86
2024-03-15 00:00:00,42,5.0,6.0,7.0,50.0,72.0,74.0,82,26
2024-03-16 00:00:00,43,12.0,38.0,45.0,66.0,70.0,73.0,58,85
2024-03-19 00:00:00,44,4.0,19.0,58.0,60.0,67.0,82.0,48,29
2024-03-21 00:00:00,45,2.0,8.0,17.0,73.0,77.0,84.0,4,84
2024-03-22 00:00:00,46,13.0,16.0,59.0,66.0,77.0,79.0,82,75
2024-03-23 00:00:00,47,32.0,34.0,57.0,58.0,67.0,79.0,61,66
2024-03-26 00:00:00,48,2.0,24.0,43.0,74.0,81.0,85.0,63,40
2024-03-28 00:00:00,49,5.0,9.0,22.0,69.0,74.0,84.0,80,83
2024-03-29 00:00:00,50,20.0,30.0,32.0,38.0,61.0,67.0,60,6
2024-03-30 00:00:00,51,8.0,25.0,28.0,45.0,54.0,66.0,89,28
2024-04-02 00:00:00,52,28.0,39.0,40.0,44.0,72.0,76.0,52,52
2024-04-04 00:00:00,53,8.0,33.0,36.0,41.0,51.0,68.0,71,8
2024-04-05 00:00:00,54,23.0,40.0,42.0,60.0,62.0,63.0,26,80
2024-04-06 00:00:00,55,14.0,33.0,53.0,54.0,64.0,78.0,39,85
2024-04-09 00:00:00,56,15.0,23.0,31.0,45.0,51.0,58.0,60,64
2024-04-11 00:00:00,57,8.0,31.0,67.0,77.0,81.0,86.0,10,62
